	record_number	catalogue_title	eng_host_item	courier_id	year	publication_date	pages	notes
0	50290	1 + 1 = 3: every day over 200,000 more mouths to feed	The UNESCO Courier: a window open on the world XXVII, 5 p. 4-5, illus 74873 eng	 74873 eng	1974	1974	[4, 5]	
1	64362	1,000 million lives in danger	The UNESCO Courier: a window open on the world XIII, 4 p. 6-7, illus. 64696 eng	 64696 eng	1960	1960	[6, 7]	Published in 4 editions
2	51741	10 major cloud types	The UNESCO Courier: a window open on the world XXVI, 8/9 p. 34-35, illus. 74891 eng	 74891 eng	1973	1973	[34, 35]	
4	56977	100 wars and other conflicts since World War II	The UNESCO Courier: a window open on the world XXIII, 11 p. 23 78379 eng	 78379 eng	1970	1970	[23]	
5	54462	100 years of effort: forgotten city cleared from the jungle	The UNESCO Courier: a window open on the world XXIV, 12 p. 28-29 54453 eng	 54453 eng	1971	1971	[28, 29]	
6	74022	100 years of the Danish folk high school movement	The UNESCO Courier: supplement II, 6 p. 6, 8 74013 eng	 74013 eng	1949	1949	[6, 8]	
7	56971	10th anniversary of U.N. Declaration on the Independence of Colonial Peoples	The UNESCO Courier: a window open on the world XXIII, 11 p. 14 78379 eng	 78379 eng	1970	1970	[14]	
9	54465	12th century diary in stone: a record of daily life carved on the walls of the Bayon temple	The UNESCO Courier: a window open on the world XXIV, 12 p. 30-38, illus. 54453 eng	 54453 eng	1971	1971	[30, 31, 32, 33, 34, 35, 36, 37, 38]	
10	63411	15 years ago...	The UNESCO Courier: a window open on the world XVI, 12 p. 4-5 63446 eng	 63446 eng	1963	1963	[4, 5]	
11	52095	17 major wreck sites in the Mediterranean	The UNESCO Courier: a window open on the world XXV, 5 p. 12-13, illus. 78276 eng	 78276 eng	1972	1972	[12, 13]	
13	98447	1794: The French Convention abolishes slavery	The UNESCO courier: a window open on the world XLVII, 10 p. 25, illus. 98493 eng	 98493 eng	1994	1994	[25]	
14	73800	1948 working programme set for Amazon Institute	The UNESCO Courier I, 6 p. 4, 5 73790 eng	 73790 eng	1948	1948	[4, 5]	
15	81504	1950 UNESCO seminars chart a way to world understanding through improved educational techniques	The UNESCO Courier III, 6/7 p. 14, illus. 81475 eng	 81475 eng	1950	1950|July - Aug. 1950	[14]	Published in 3 editions
16	74598	"The 1951 General Conference of UNESCO: ""a meeting of great decisions"""	The UNESCO Courier IV, 7/8 p. 3-4, illus. 74589 eng	 74589 eng	1951	1951	[3, 4]	Published in 3 editions
17	69006	1955: big year of decision for TV	The UNESCO Courier: a window open on the world VIII, 6 p. 27-29, illus. 69011 eng	 69011 eng	1955	1955	[27, 28, 29]	Published in 3 editions
18	33077	1965: International Co-operation Year	The UNESCO Courier: a window open on the world XVIII, 3 p. 2, illus. 78208 eng	 78208 eng	1965	1965	[2]	
19	78221	1967: International Tourist Year	The UNESCO Courier: a window open on the world XIX, 12 p. 4-9, illus. 22703 eng	 22703 eng	1966	1966	[4, 5, 6, 7, 8, 9]	
22	56721	1970, International Education Year	The UNESCO Courier: a window open on the world XXIII, 1 p. 4-6, illus. 56740 eng	 56740 eng	1970	1970	[4, 5, 6]	
27	68109	1986: Year of Peace, 1	The UNESCO Courier: a window open on the world XXXIX, 1 p. 34, illus. 68108 eng	 68108 eng	1986	1986	[34]	
28	70719	1986: Year of Peace, 10	The UNESCO Courier: a window open on the world XXXIX, 10 p. 38, illus. 70725 eng	 70725 eng	1986	1986	[38]	Salient passages of a Message proclaimed at a Congress of Intellectuals for the Peaceful Future of the World, Warsaw, Poland, Jan. 1986
29	70790	1986: Year of Peace, 11: scientists and peace	The UNESCO Courier: a window open on the world XXXIX, 11 p. 34 74933 eng	 74933 eng	1986	1986	[34]	
30	71639	1986: Year of Peace, 12: a tribute to Paulo Freire	The UNESCO Courier: a window open on the world XXXIX, 12 p. 46 71641 eng	 71641 eng	1986	1986	[46]	
31	68335	1986, Year of peace, 2	The UNESCO Courier: a window open on the world XXXIX, 2 p. 38, illus. 68337 eng	 68337 eng	1986	1986	[38]	
32	68422	1986: Year of Peace, 3, messages from young people	The UNESCO Courier: a window open on the world XXXIX, 3 p. 38, illus. 68421 eng	 68421 eng	1986	1986	[38]	
33	68777	1986: Year of Peace: 4	The UNESCO Courier: a window open on the world XXXIX, 4 p. 34, illus. 68918 eng	 68918 eng	1986	1986	[34]	Extracts from a speech by Olof Palme, Prime Minister of Sweden, on 21 Oct. 1985, UN, New York, during the 40th session of the UN General Assembly
34	69324	1986: Year of peace: 5, letter from Nagasaki	The UNESCO Courier: a window open on the world XXXIX, 5/6 p. 66, illus. 69416 eng	 69416 eng	1986	1986	[66]	UNESCO 40th anniversary issue, a selection of articles in abridged form|Extracts from an eyewitness account from 'Die Stimme des Menschen' (The Voice of mankind) by Hans Walter Bähr, Munich: R. Piper & Co., an anthology of letters from all parts of the world written between 1939 and 1945 by men and women who lost their lives as a result of the Second World War
35	69547	1986: Year of Peace, 7	The UNESCO Courier: a window open on the world XXXIX, 7 p. 38, illus. 69653 eng	 69653 eng	1986	1986	[38]	Appeal adopted at 'Together for peace', a conference held in Geneva, 20-24 Jan. 1986, under the auspices of the Board of the Conference of NGOs in Consultative Status with ECOSOC, to mark International Year of Peace
36	69675	1986: Year of peace, 8: Love and peace	The UNESCO Courier: a window open on the world XXXIX, 8 p. 34, illus. 69680 eng	 69680 eng	1986	1986	[34]	
37	70479	1986: Year of Peace, 9	The UNESCO Courier: a window open on the world XXXIX, 9 p. 34, illus. 70484 eng	 70484 eng	1986	1986	[34]	
38	102617	1996: International Year for the Eradication of Poverty	The UNESCO courier: a window open on the world 49, 4 p. 38-39, illus. 102622 eng	 102622 eng	1996	1996|Apr. 1996	[38, 39]	
39	54308	A 19th century champion of anti-racism in New Guinea	The UNESCO Courier: a window open on the world XXIV, 11 p. 24-27, illus. 78447 eng	 78447 eng	1971	1971	[24, 25, 26, 27]	
40	63559	2,000 million persons without access to news: a UNESCO world enquiry	The UNESCO Courier: a window open on the world XV, 6 p. 4-8, 10-13, illus. 78189 eng	 78189 eng	1962	1962|June 1962	[4, 5, 6, 7, 8]	
41	116260	2,000 world classics on line	The UNESCO courier 52,6 p. 45, illus. 116241 eng	 116241 eng	1999	1999|June 1999	[45]	
42	71060	2,000 years of Mexican art	The UNESCO Courier V, 6 p. 3-9, illus. 71059 eng	 71059 eng	1952	1952	[3, 4, 5, 6, 7, 8, 9]	Published in 3 editions
43	60542	20,000 volunteer workers for progress and friendship	The UNESCO Courier: a window open on the world XVIII, 7/8 p. 57-59, illus. 60510 eng	 60510 eng	1965	1965	[57, 58, 59]	
45	68947	20 century Gullivers	The UNESCO Courier: a window open on the world VIII, 1 p. 26-31, illus. 68948 eng	 68948 eng	1955	1955	[26, 27, 28, 29, 30, 31]	Published in 3 editions
47	46298	200 years before Gutenberg: the Master printers of Koryo	The UNESCO Courier: a window open on the world XXXI, 12 p. 11-12, illus. 74807 eng	 74807 eng	1978	1978	[11, 12]	
48	138463	2004: International Year for the Commemoration of the Struggle against Slavery and its Abolition	The New courier Dec. 2004 p. 47, illus. 138446 eng	 138446 eng	2004	2004|Dec. 2004	[47]	
50	81461	The 20th century's debt to Pascal	The UNESCO Courier III, 5 p. 13, illus. 81400 eng	 81400 eng	1950	1950	[13]	Published in 3 editions
51	52717	A 21-point programme for a global strategy in education	The UNESCO Courier: a window open on the world XXV, 11 p. 20-23, 26-32, illus. 78294 eng	 78294 eng	1972	1972	[20, 21, 22, 23]	
52	69180	A 21-point programme for a global strategy in education	The UNESCO Courier: a window open on the world XXXIX, 5/6 p. 33-35, illus. 69416 eng	 69416 eng	1986	1986	[33, 34, 35]	UNESCO 40th anniversary issue; a selection of articles in abridged form
56	52873	25 years of UNESCO publications on art	The UNESCO Courier: a window open on the world XXIV, 3 p. 35-36 78380 eng	 78380 eng	1971	1971	[35, 36]	
58	187235	25 years of UNESCO viewed by a student of 25	The UNESCO Courier: a window open on the world XXIV, 8/9 p. 6-7, illus. 53853 eng	 53853 eng	1971	1971	[6, 7]	
59	68929	250,000,000 children without schools	The UNESCO Courier: a window open on the world IX, 11/12 p. 26-29, illus. 68941 eng	 68941 eng	1956	1956	[26, 27, 28, 29]	Published in 3 editions
60	63723	29 January: World Leprosy Day	The UNESCO Courier: a window open on the world XIV, 1 p. 27-30, illus. 78178 eng	 78178 eng	1961	1961	[27, 28, 29, 30]	Published in 6 editions
62	61387	3,000 years of glass-making: craft workers of the Phoenician coast	The UNESCO Courier: a window open on the world XVII, 2 p. 20-27, illus. 61386 eng	 61386 eng	1964	1964	[20, 21, 22, 23, 24, 25, 26, 27]	
63	69028	30,000,000 new Korean school books a year	The UNESCO Courier: a window open on the world VIII, 7 p. 30-31, illus. 69029 eng	 69029 eng	1955	1955	[30, 31]	Published in 3 editions
64	58760	30 questions on human rights	The UNESCO Courier: a window open on the world XXI, 1 p. 7-13, illus. 78234 eng	 78234 eng	1968	1968	[7, 8, 9, 10, 11, 12, 13]	"Published in 11 editions.|Taken from ""The United Nations and the human person; questions and answers on human rights"", a UN pamphlet to be published this year in eng, fre, spa."
65	48063	A 30-year struggle; the sustained efforts to give force of law to the Universal Declaration of Human Rights	The UNESCO Courier: a window open on the world XXX, 11 p. 28-29, 32, illus. 74816 eng	 74816 eng	1977	1977	[28, 29]	
66	49748	30 years after World War II	The UNESCO Courier: a window open on the world XXVIII, 11 p. 4-11, illus. 74848 eng	 74848 eng	1975	1975	[4, 5, 6, 7, 8, 9, 10, 11]	
68	63366	300,000 earthquakes a year	The UNESCO Courier: a window open on the world XVI, 10 p. 26-30, illus. 63437 eng	 63437 eng	1963	1963	[26, 27, 28, 29, 30]	
69	69955	32 social scientists testify against segregation	The UNESCO Courier: a window open on the world VII, 6 p. 24-25, illus. 69962 eng	 69962 eng	1954	1954	[24, 25]	Published in 3 editions
70	63297	330 million brains for a new era	The UNESCO Courier: a window open on the world XVI, 7/8 p. 24-29, illus. 63436 eng	 63436 eng	1963	1963	[24, 25, 26, 27, 28, 29]	Special double issue
71	50284	35 steps to antiquity: under the central square of Bulgaria's capital city, a pedestrian subway leads to the vestiges of an ancient Roman citadel	The UNESCO Courier: a window open on the world XXVII, 4 p. 30-35, illus. 74870 eng	 74870 eng	1974	1974	[30, 31, 32, 33, 34, 35]	
73	51822	40 million child-workers in the world today, the scourge of child labour: a blot on the conscience of the developed and developing countries	The UNESCO Courier: a window open on the world XXVI, 10 p. 6-11, illus. 74906 eng	 74906 eng	1973	1973	[6, 7, 8, 9, 10, 11]	"Article based on an ILO study entitled ""Minumum age for admission to employment"", ILO, 1972, and a UNESCO study entitled ""Rights and responsibilities of youth"", ..."
74	69427	42nd Street and First Avenue: sixty nations on 18 acres	The UNESCO Courier: a window open on the world VIII, 10 p. 19-25, illus. 78145 eng	 78145 eng	1955	1955	[19, 20, 21, 22, 23, 24, 25]	Published in 3 editions
75	73666	48 scholarships to be awarded war-hit nations	The UNESCO Courier I, 1 p. 3 73649 eng	 73649 eng	1948	1948	[3]	
76	82208	5,000 years of Indian culture	The UNESCO Courier: a window open on the world XLII, 2 p. 4-9, illus. 82219 eng	 82219 eng	1989	1989	[4, 5, 6, 7, 8, 9]	
77	68269	5 readers a minute, 11 hours every day in Asia's busiest public library	The UNESCO Courier: a window open on the world IX, 2 p. 4-8, illus. 68278 eng	 68278 eng	1956	1956	[4, 5, 6, 7, 8]	Published in 3 editions
78	49756	50,000 Hiroshimas: such is the destructive power of the so-called 'tactical' nuclear weapons	The UNESCO Courier: a window open on the world XXVIII, 11 p. 22-23 74848 eng	 74848 eng	1975	1975	[22, 23]	
79	63722	50,000 letters attest the idealism of Leo Tolstoy	The UNESCO Courier: a window open on the world XIV, 1 p. 23-26, illus. 78178 eng	 78178 eng	1961	1961	[23, 24, 25, 26]	Published in 6 editions
81	51711	50 world weather records	The UNESCO Courier: a window open on the world XXVI, 8/9 p. 14-15, illus., map 74891 eng	 74891 eng	1973	1973	[14, 15]	
82	68702	500 million for the 'Middle Way'	The UNESCO Courier: a window open on the world IX, 6 p. 25, illus. 68910 eng	 68910 eng	1956	1956	[25]	Published in 3 editions.
83	186064	5000 years of Indian culture	The UNESCO courier Special issue p. 22-25, illus. 185958 eng	 185958 eng	2009	2009|Nov. 2009	[22, 23, 24, 25]	Reprinted from: The UNESCO Courier, vol. 42, no. 2, 1989, see record 82208
84	49656	562 million women in the world gainfully employed	The UNESCO Courier: a window open on the world XXVIII, 3 p. 10-13, illus. 74836 eng	 74836 eng	1975	1975	[10, 11, 12, 13]	"Article based on an important world-wide study carried out by the International Labour Office, entitled ""Equality of opportunity and treatment for women workers"", ILO, Geneva, 1974."
85	60656	57 oil paintings lost in a single robbery	The UNESCO Courier: a window open on the world XVIII, 11 p. 14-15, illus. 78211 eng	 78211 eng	1965	1965	[14, 15]	
86	119479	6,000 languages: an embattled heritage	The UNESCO courier 53, 4 p. 18-19, illus. 119473 eng	 119473 eng	2000	2000|Apr. 2000	[18, 19]	
87	186048	60 years of friendship: India in The UNESCO courier, 1949-2009	The UNESCO courier Special issue p. 4, illus. 185958 eng	 185958 eng	2009	2009|Nov. 2009	[4]	
89	49717	65 million dollars: one company's penalty for sexist discrimination; the consequences of an anti-discrimination law passed by the U.S. Congress in 1964	The UNESCO Courier: a window open on the world XXVIII, 8/9 p. 32-33, 68, illus. 74845 eng	 74845 eng	1975	1975|Aug. - Sept. 1975	[32, 33]	
90	73947	67 Nations discuss future of short-wave frequencies	The UNESCO Courier II, 2 p. 4 73938 eng	 73938 eng	1949	1949	[4]	
91	66063	7 million forgotten Indians in the land of the Incas	The UNESCO Courier: a window open on the world XII, 11 p. 21-26, illus. 66059 eng	 66059 eng	1959	1959	[21, 22, 23, 24, 25, 26]	Published in 4 editions
92	63889	70 million illiterates: a continental challenge	The UNESCO Courier: a window open on the world XIV, 6 p. 32-35, illus. 64074 eng	 64074 eng	1961	1961	[32, 33, 34, 35]	Published in 8 editions.|Special issue
94	31775	700,000 scientists in the U.S.S.R. in 1967	The UNESCO Courier: a window open on the world XX, 11 p. 31-37, illus. 78231 eng	 78231 eng	1967	1967	[31, 32, 33, 34, 35, 36, 37]	
95	58690	700 million forgotten minds	The UNESCO Courier: a window open on the world XXII, 8/9 p. 36-37, illus. 78246 eng	 78246 eng	1969	1969	[36, 37]	"Special Anthology Number, containing abridged versions of selected articles published in the ""Courier"" over the last 2 decades."
97	63762	98 nations chart a two-year plan for world action	The UNESCO Courier: a window open on the world XIV, 2 p. 4-13, illus. 78179 eng	 78179 eng	1961	1961	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	Published in 6 editions
98	52769	An 'A B C' of text plus image	The UNESCO Courier: a window open on the world XXV, 12 p. 36-41, illus. 78283 eng	 78283 eng	1972	1972	[36, 37, 38, 39, 40, 41]	
99	67700	A Certain Thackeray', caricaturist	The UNESCO Courier: a window open on the world X, 8 p. 46-47, illus. 67651 eng	 67651 eng	1957	1957	[46, 47]	Published in 4 editions
100	74958	A Child's education begins twenty years before he is born: women's access to education	The UNESCO Courier II, 12 p. 9, illus. 74946 eng	 74946 eng	1950	1950	[9]	Published in 3 editions
101	366387	A Confucian approach to human rights	The UNESCO courier 4 p. 30-31, illus. 265904 eng	 265904 eng	2018	2018|Oct.-Dec. 2018	[30, 31]	
102	366377	A debate on the principles of human dignity	The UNESCO courier 4 p. 11-12, illus. 265904 eng	 265904 eng	2018	2018|Oct.-Dec. 2018	[11, 12]	
103	85203	A Desire to receive guests'	The UNESCO Courier: a window open on the world XLIII, 2 p. 17-20, illus. 85219 eng	 85219 eng	1990	1990	[17, 18, 19, 20]	
104	85563	A Past that won't go away'; interview (with Hinnerk Bruhns)	The UNESCO Courier: a window open on the world XLIII, 4 p. 4-9, illus. 85577 eng	 85577 eng	1990	1990	[4, 5, 6, 7, 8, 9]	
105	74912	A Perverse logic'	The UNESCO Courier: a window open on the world XL, 7 p. 7-9, illus. 74925 eng	 74925 eng	1987	1987	[7, 8, 9]	
106	68800	A Place of healing for the soul'	The UNESCO Courier: a window open on the world IX, 9 p. 8-9 68909 eng	 68909 eng	1956	1956	[8, 9]	Published in 3 editions|Article from a paper entitled 'Babel's tower: the dilemma of the modern museum' for the 4th International Conference of Museums, Switzerland, July 1956
107	79176	A Revolution in seeing'	The UNESCO Courier: a window open on the world XLI, 4 p. 26-28, illus. 79179 eng	 79179 eng	1988	1988|Apr. 1988	[26, 27, 28]	Abridged version of a text by Anne Hoy in 'David Hockney: a retrospective', London, Thames & Hudson; Cologne, Germany FR, Dumont Buchverlag, 1988, organized by Los Angeles County Museum of Art
108	366390	A sacred and universal character for human rights	The UNESCO courier 4 p. 34-35, illus. 265904 eng	 265904 eng	2018	2018|Oct.-Dec. 2018	[34, 35]	
109	70269	A Shot in the arm' for health improvement	The UNESCO Courier VI, 7 p. 4-6, illus. 70268 eng	 70268 eng	1953	1953	[4, 5, 6]	Published in 3 editions|Highlights from a few of the chapters of 'Cultural patterns and technical change', edited by Margaret Mead, Paris: UNESCO, 1953
110	86458	A Terrifying and edible beauty'	The UNESCO Courier: a window open on the world XLIII, 8 p. 44-45, illus. 86461 eng	 86461 eng	1990	1990	[44, 45]	
111	67669	A Tiny bubble in the silence of the infinite'	The UNESCO Courier: a window open on the world X, 8 p. 20, illus. 67651 eng	 67651 eng	1957	1957|Aug. 1957	[20]	Published in 4 editions
112	370987	À Valparaiso, l’école derrière les barreaux	Le Courrier de l'UNESCO 4 pages 16-17, illustration 370977 fre		2019	2019|octobre-décembre 2019	[16, 17]	
113	100575	Abai Kunanbayev (1845-1904): interview with Chingiz Aitmatov	The UNESCO courier: a window open on the world XLVIII, 7/8 p. 86-89, illus. 100576 eng	 100576 eng	1995	1995|July-Aug. 1995	[86, 87, 88, 89]	
114	100233	The Abbé Pierre talks to Martine Leca	The UNESCO courier: a window open on the world XLVIII, 5 p. 5-8, illus. 100259 eng	 100259 eng	1995	1995	[5, 6, 7, 8]	
115	179882	The ABC book: the only important book	The UNESCO courier 7 p. 3, illus. 179880 eng	 179880 eng	2008	2008|2008	[3]	Electronic version only
116	48141	An ABC of drugs: natural and synthetic substances under international control	The UNESCO Courier: a window open on the world XXXV, 1 p. 25-29, illus. 74712 eng	 74712 eng	1982	1982	[25, 26, 27, 28, 29]	"Article from ""The United Nations and Drug Abuse Control"", produced by the UN Division of Narcotic Drugs, Geneva (UN, New York, 1977)."
117	51740	An ABC of meteorology	The UNESCO Courier: a window open on the world XXVI, 8/9 p. 31-33, 38, illus. 74891 eng	 74891 eng	1973	1973	[31, 32, 33]	
119	99224	The Abdication of thought	The UNESCO courier: a window open on the world XLVII, 12 p. 23-24, illus. 99251 eng	 99251 eng	1994	1994	[23, 24]	
120	366674	Abdullahi Ahmed An-Na’im: on human rights, the secular state and Sharia today	The UNESCO courier 1 p. 46-49, illustrations 366654 eng	 366654 eng	2019	2019|January - March 2019	[46, 47, 48, 49]	
121	83402	Abidjan: a colourful kaleidoscope	The UNESCO Courier: a window open on the world XLII, 8 p. 22-25, illus. 83412 eng	 83412 eng	1989	1989	[22, 23, 24, 25]	
122	50236	Abolishing the ghettos for disabled citizens; physical and social barriers still prevent the total integration of the handicapped in society	The UNESCO Courier: a window open on the world XXVII, 3 p. 23-26, 34, illus. 74869 eng	 74869 eng	1974	1974	[23, 24, 25, 26]	
123	49564	About the Declaration of Independence; a scriptographic presentation	The UNESCO Courier: a window open on the world XXIX, 7 p. 15-18, illus. 74826 eng	 74826 eng	1976	1976	[15, 16, 17, 18]	"Condensed text from the booklet ""About the Declaration of Independence"", a Scriptographic Booklet published by the Channing L. Bete Co., Inc., Mass., USA, 1969."
124	64314	Abu Simbel: marriage of the colossal and the beautiful	The UNESCO Courier: a window open on the world XIII, 2 p. 16-19, illus. 64522 eng	 64522 eng	1960	1960	[16, 17, 18, 19]	Published in 4 editions
127	84200	An Academy of sciences for the Third World	The UNESCO Courier: a window open on the world XLII, 11 p. 50, illus. 84201 eng	 84201 eng	1989	1989	[50]	
128	162569	Access to information... journalists come first	The UNESCO courier 4 p. 14-16, illus. 162430 eng	 162430 eng	2008	2008|2008	[14, 15, 16]	Electronic version only
129	78182	Accidents: world's third worst killer	The UNESCO Courier: a window open on the world XIV, 4 p. 4-5, illus. 35706 eng	 35706 eng	1961	1961	[4, 5]	
130	96804	Achievements, expectations and challenges	The UNESCO courier: a window open on the world XLVII, 6 p. 11-13, 15, illus. 96815 eng	 96815 eng	1994	1994	[11, 12, 13]	
131	73878	Achievements in the social sciences	The UNESCO Courier I, 10 p. 5 73867 eng	 73867 eng	1948	1948	[5]	
132	62553	Acid rain	The UNESCO Courier: a window open on the world XXXVIII, 1 p. 21-24, illus. 62603 eng	 62603 eng	1985	1985	[21, 22, 23, 24]	"Article based on a longer study entitled ""State of the world environment, 1983; a report from UNEP"", published in the ""UN Chronicle"", vol. XX, no. 5."
133	46519	The Acropolis in danger: an appeal by the Director-General of UNESCO, Amadou-Mahtar M'Bow	The UNESCO Courier: a window open on the world XXX, 2 p. 4-6, illus. 46520 eng	 46520 eng	1977	1977	[4, 5, 6]	
135	74124	An Act of self-examination: past endeavours future action	The UNESCO Courier II, 9 p. 9, 10 74116 eng	 74116 eng	1949	1949	[9, 10]	
136	193784	An Act of survival	The UNESCO courier 64, 3 p. 9-10, illus. 193773 eng	 193773 eng	2011	2011|July - Sept. 2011	[9, 10]	
137	127886	Action, rolling!	The New courier 1 p. 66, illus. 127885 eng	 127885 eng	2002	2002|Oct. 2002	[66]	
138	112526	An Action plan for the Med	The UNESCO courier 51, 7/8 p. 57 112488 eng	 112488 eng	1998	1998|July - Aug. 1998	[57]	
139	67902	An Action Plan for the Mediterranean	The UNESCO Courier: a window open on the world XXXVIII, 12 p. 39 67988 eng	 67988 eng	1985	1985	[39]	
140	97076	An Active pact	The UNESCO courier: a window open on the world XLVII, 5 p. 43 96850 eng	 96850 eng	1994	1994	[43]	
141	261321	Ada E. Yonath: The challenge of science is like climbing Mount Everest	The UNESCO courier 1 p. 39-42, illus. 261279 eng	 261279 eng	2018	2018|Jan. - Mar. 2018	[39, 40, 41, 42]	
142	123474	Adam Michnik: the Sisyphus of democracy	The UNESCO courier 54, 9 p. 47-51, illus. 123512 eng	 123512 eng	2001	2001|Sept. 2001	[47, 48, 49, 50, 51]	
143	366755	Address by His Holiness Pope John Paul II on the occasion of his visit to the Headquarters of the United Nations Educational, Scientific and Cultural Organization (UNESCO), 2 June 1980	The UNESCO Courier: a window open on the world XXXIII, 6 pages 9-16, illus. 74758 eng	 74758 eng	1980	1980	[9, 10, 11, 12, 13, 14, 15, 16]	
144	189470	Adios to the snowy heights	The UNESCO courier 10 p. 19-20, illus. 189411 eng	 189411 eng	2009	2009|2009	[19, 20]	
145	114988	Adoption: for love or money?	The UNESCO courier 52, 2 p. 37-39, illus. 114969 eng	 114969 eng	1999	1999|Feb. 1999	[37, 38, 39]	
146	74021	Adult education	The UNESCO Courier: supplement II, 6 p. 5, 8 74013 eng	 74013 eng	1949	1949	[5, 8]	
147	74023	Adult education and the future of our civilization	The UNESCO Courier II, 6 p. 6, 7 74013 eng	 74013 eng	1949	1949	[6, 7]	
148	109313	Adult education for tomorrow	The UNESCO courier: a window open on the world 50, 7/8 p. 88-91 109515 eng	 109515 eng	1997	1997|July/Aug. 1997	[88, 89, 90, 91]	
149	81406	Adult education in Austria	The UNESCO Courier III, 5 p. 3, illus. 81400 eng	 81400 eng	1950	1950|June 1950	[3]	"Published in 3 editions 
"
150	122276	Afghan heritage: time for exile?	The UNESCO courier 54, 4 p. 24-25, illus. 122266 eng	 122266 eng	2001	2001|Apr. 2001	[24, 25]	
151	124250	Afghan women: knowledge and revolt	The UNESCO courier 54, 11 p. 4-9, illus. 124272 eng	 124272 eng	2001	2001|Nov. 2001	[4, 5, 6, 7, 8, 9]	
152	142024	Afghanistan: a difficult return for girls	The New courier p. 4-5, illus. 142021 eng	 142021 eng	2005	2005|Nov. 2005	[4, 5]	
154	121935	Afghanistan: in the valley of drought	The UNESCO courier 54, 2 p. 33-34, illus. 121920 eng	 121920 eng	2001	2001|Feb. 2001	[33, 34]	
